LAT,LON,PRECTOTCORR
1.5,-76.875,4.092591240875912
1.5,-76.25,4.37639598540146
1.5,-75.625,4.264899635036496
1.5,-75.0,4.145903284671533
1.5,-74.375,4.06543795620438
1.5,-73.75,5.2959032846715335
1.5,-73.125,7.467363138686131
1.5,-72.5,8.189014598540146
1.5,-71.875,9.04647810218978
1.5,-71.25,8.334744525547444
1.5,-70.625,7.326395985401461
1.5,-70.0,7.216341240875912
1.5,-69.375,6.969698905109489
2.0,-76.875,3.755593065693431
2.0,-76.25,3.7382846715328464
2.0,-75.625,3.7455200729927007
2.0,-75.0,3.5968430656934305
2.0,-74.375,4.033768248175183
2.0,-73.75,6.070100364963504
2.0,-73.125,8.37661496350365
2.0,-72.5,9.161815693430658
2.0,-71.875,9.516076642335767
2.0,-71.25,8.842317518248175
2.0,-70.625,7.600164233576643
2.0,-70.0,7.382016423357664
2.0,-69.375,6.937618613138686
2.5,-76.875,3.443512773722628
2.5,-76.25,3.3838868613138686
2.5,-75.625,3.589324817518248
2.5,-75.0,3.5427007299270077
2.5,-74.375,4.593321167883212
2.5,-73.75,7.375045620437956
2.5,-73.125,9.453038321167885
2.5,-72.5,9.953722627737227
2.5,-71.875,9.812089416058393
2.5,-71.25,9.326587591240877
2.5,-70.625,8.12558394160584
2.5,-70.0,7.641806569343066
2.5,-69.375,6.902956204379563
3.0,-76.875,4.536779197080293
3.0,-76.25,3.2677007299270073
3.0,-75.625,3.676596715328467
3.0,-75.0,3.751669708029197
3.0,-74.375,5.430775547445256
3.0,-73.75,8.611332116788322
3.0,-73.125,10.246660583941607
3.0,-72.5,10.418503649635037
3.0,-71.875,9.997007299270072
3.0,-71.25,9.599206204379561
3.0,-70.625,8.568503649635037
3.0,-70.0,7.738795620437956
3.0,-69.375,6.713677007299269
3.5,-76.875,6.876532846715329
3.5,-76.25,3.6173631386861316
3.5,-75.625,4.0575547445255475
3.5,-75.0,4.280748175182482
3.5,-74.375,6.136131386861313
3.5,-73.75,9.264169708029197
3.5,-73.125,10.50036496350365
3.5,-72.5,10.484908759124089
3.5,-71.875,10.019890510948905
3.5,-71.25,9.47095802919708
3.5,-70.625,8.294397810218978
3.5,-70.0,7.0524361313868615
3.5,-69.375,6.033640510948905
4.0,-76.875,8.03685218978102
4.0,-76.25,4.777089416058394
4.0,-75.625,4.664361313868613
4.0,-75.0,4.977928832116788
4.0,-74.375,6.165410583941606
4.0,-73.75,8.984598540145987
4.0,-73.125,10.262655109489051
4.0,-72.5,10.100483576642334
4.0,-71.875,9.879881386861314
4.0,-71.25,8.850100364963502
4.0,-70.625,7.0843339416058395
4.0,-70.0,5.661167883211679
4.0,-69.375,5.185182481751825
4.5,-76.875,10.856085766423359
4.5,-76.25,6.815985401459853
4.5,-75.625,5.328211678832117
4.5,-75.0,5.50418795620438
4.5,-74.375,5.418485401459854
4.5,-73.75,7.656487226277372
4.5,-73.125,9.406332116788322
4.5,-72.5,9.423713503649635
4.5,-71.875,9.432883211678833
4.5,-71.25,7.5785218978102185
4.5,-70.625,5.395282846715329
4.5,-70.0,4.560912408759124
4.5,-69.375,4.783649635036497
5.0,-76.875,15.7730200729927
5.0,-76.25,9.347381386861313
5.0,-75.625,5.953010948905109
5.0,-75.0,5.8056021897810215
5.0,-74.375,4.7072354014598545
5.0,-73.75,6.094489051094891
5.0,-73.125,7.8781569343065705
5.0,-72.5,8.409635036496349
5.0,-71.875,8.011642335766423
5.0,-71.25,5.738120437956205
5.0,-70.625,4.166870437956205
5.0,-70.0,4.0896441605839415
5.0,-69.375,4.686687956204379
5.5,-76.875,19.775282846715328
5.5,-76.25,11.31634124087591
5.5,-75.625,6.395720802919708
5.5,-75.0,5.882408759124088
5.5,-74.375,4.751140510948905
5.5,-73.75,5.392116788321168
5.5,-73.125,6.2489507299270075
5.5,-72.5,6.777855839416058
5.5,-71.875,5.7250364963503655
5.5,-71.25,4.24396897810219
5.5,-70.625,3.731633211678832
5.5,-70.0,3.889616788321168
5.5,-69.375,4.552992700729927
6.0,-76.875,20.03594890510949
6.0,-76.25,11.483330291970802
6.0,-75.625,6.394644160583941
6.0,-75.0,5.783695255474453
6.0,-74.375,5.291669708029197
6.0,-73.75,5.615675182481752
6.0,-73.125,5.276815693430657
6.0,-72.5,5.175492700729927
6.0,-71.875,4.085200729927007
6.0,-71.25,3.6462591240875915
6.0,-70.625,3.625939781021898
6.0,-70.0,3.700328467153285
6.0,-69.375,4.462874087591241
6.5,-76.875,17.720237226277373
6.5,-76.25,10.261432481751825
6.5,-75.625,6.082518248175182
6.5,-75.0,5.750757299270073
6.5,-74.375,5.783996350364964
6.5,-73.75,6.074142335766424
6.5,-73.125,4.8836131386861314
6.5,-72.5,4.249717153284672
6.5,-71.875,3.457773722627737
6.5,-71.25,3.4595164233576643
6.5,-70.625,3.6424361313868614
6.5,-70.0,3.6760036496350366
6.5,-69.375,4.247700729927007
7.0,-77.5,22.13779197080292
7.0,-76.875,12.854315693430657
7.0,-76.25,9.179333941605838
7.0,-75.625,5.957007299270073
7.0,-75.0,5.754096715328467
7.0,-74.375,5.9817974452554745
7.0,-73.75,6.093549270072993
7.0,-73.125,4.353430656934306
7.0,-72.5,3.5034762773722625
7.0,-71.875,2.893412408759124
7.5,-77.5,10.984151459854013
7.5,-76.875,10.698594890510948
7.5,-76.25,8.423768248175183
7.5,-75.625,5.862965328467154
7.5,-75.0,5.539945255474453
7.5,-74.375,5.801049270072992
7.5,-73.75,5.489826642335767
7.5,-73.125,3.546779197080292
7.5,-72.5,2.6661313868613137
7.5,-71.875,2.2596167883211677
8.0,-77.5,9.514206204379562
8.0,-76.875,9.422180656934305
8.0,-76.25,7.299005474452555
8.0,-75.625,5.290264598540146
8.0,-75.0,4.97603102189781
8.0,-74.375,5.1932481751824815
8.0,-73.75,4.520812043795621
8.0,-73.125,2.8536313868613137
8.0,-72.5,1.9437499999999999
8.0,-71.875,1.757226277372263
8.5,-77.5,8.719863138686131
8.5,-76.875,8.614178832116787
8.5,-76.25,6.0055200729927005
8.5,-75.625,4.439489051094891
8.5,-75.0,4.2671715328467155
8.5,-74.375,4.345948905109489
8.5,-73.75,3.6041240875912406
8.5,-73.125,2.3991149635036493
8.5,-72.5,1.75117700729927
8.5,-71.875,1.4018521897810219
9.0,-77.5,8.907755474452554
9.0,-76.875,9.213531021897811
9.0,-76.25,5.415191605839416
9.0,-75.625,3.840903284671533
9.0,-75.0,3.7869890510948903
9.0,-74.375,3.5887682481751826
9.0,-73.75,3.0916788321167883
9.0,-73.125,2.405273722627737
9.0,-72.5,1.9305200729927006
9.0,-71.875,1.4000912408759123
9.5,-77.5,9.008914233576643
9.5,-76.875,7.495994525547446
9.5,-76.25,5.454963503649635
9.5,-75.625,3.605009124087591
9.5,-75.0,3.557299270072993
9.5,-74.375,3.0553923357664234
9.5,-73.75,3.0038138686131384
9.5,-73.125,2.8161952554744527
9.5,-72.5,2.3777554744525546
9.5,-71.875,1.5340145985401459
10.0,-77.5,5.9321350364963505
10.0,-76.875,6.178950729927007
10.0,-76.25,5.705830291970803
10.0,-75.625,3.5805565693430657
10.0,-75.0,3.9589689781021895
10.0,-74.375,2.65323905109489
10.0,-73.75,3.0355109489051095
10.0,-73.125,3.187308394160584
10.0,-72.5,2.7343795620437956
10.0,-71.875,2.1058120437956203
10.5,-77.5,4.241167883211679
10.5,-76.875,5.485054744525548
10.5,-76.25,5.914607664233577
10.5,-75.625,4.606770072992701
10.5,-75.0,4.2932664233576645
10.5,-74.375,2.9188047445255476
10.5,-73.75,3.0246715328467153
10.5,-73.125,3.2338686131386862
10.5,-72.5,2.7762043795620435
10.5,-71.875,2.159917883211679
11.0,-77.5,3.783731751824818
11.0,-76.875,4.860547445255475
11.0,-76.25,5.328631386861314
11.0,-75.625,5.771989051094891
11.0,-75.0,4.8130930656934305
11.0,-74.375,3.745164233576642
11.0,-73.75,3.6212773722627736
11.0,-73.125,3.110848540145985
11.0,-72.5,2.6941423357664234
11.0,-71.875,2.120684306569343
11.5,-77.5,3.4636040145985403
11.5,-76.875,4.411979927007299
11.5,-76.25,4.592554744525547
11.5,-75.625,4.839078467153285
11.5,-75.0,5.009197080291971
11.5,-74.375,5.174598540145985
11.5,-73.75,5.737864963503649
11.5,-73.125,4.466751824817519
11.5,-72.5,4.473640510948905
11.5,-71.875,2.1835857664233576
12.0,-77.5,3.1533576642335768
12.0,-76.875,3.860948905109489
12.0,-76.25,3.7830474452554745
12.0,-75.625,3.648220802919708
12.0,-75.0,3.757609489051095
12.0,-74.375,3.930593065693431
12.0,-73.75,3.6803558394160585
12.0,-73.125,3.0354653284671533
12.0,-72.5,2.8911496350364962
12.0,-71.875,2.1211313868613138
12.5,-77.5,2.465939781021898
12.5,-76.875,2.622299270072993
12.5,-76.25,2.511140510948905
12.5,-75.625,2.366021897810219
12.5,-75.0,2.292582116788321
12.5,-74.375,2.0827463503649635
12.5,-73.75,1.9407846715328467
12.5,-73.125,1.7720894160583942
12.5,-72.5,1.720255474452555
12.5,-71.875,1.4632025547445255
